game_id;player_name;opponent_name;turn_number;row;col;result;opponent_ship_positions;winner
ab42c433;hugo;raphael;16;4;4;miss;[{'row': 1, 'col': 2, 'size': 5, 'orientation': 'horizontal'}, {'row': 3, 'col': 4, 'size': 4, 'orientation': 'horizontal'}, {'row': 5, 'col': 4, 'size': 3, 'orientation': 'horizontal'}, {'row': 7, 'col': 4, 'size': 3, 'orientation': 'horizontal'}, {'row': 6, 'col': 0, 'size': 2, 'orientation': 'horizontal'}];
ab42c433;raphael;hugo;17;3;8;hit;[{'row': 1, 'col': 4, 'size': 5, 'orientation': 'horizontal'}, {'row': 3, 'col': 5, 'size': 4, 'orientation': 'horizontal'}, {'row': 4, 'col': 3, 'size': 3, 'orientation': 'horizontal'}, {'row': 5, 'col': 7, 'size': 3, 'orientation': 'horizontal'}, {'row': 9, 'col': 2, 'size': 2, 'orientation': 'horizontal'}];
ab42c433;hugo;raphael;18;9;6;miss;[{'row': 1, 'col': 2, 'size': 5, 'orientation': 'horizontal'}, {'row': 3, 'col': 4, 'size': 4, 'orientation': 'horizontal'}, {'row': 5, 'col': 4, 'size': 3, 'orientation': 'horizontal'}, {'row': 7, 'col': 4, 'size': 3, 'orientation': 'horizontal'}, {'row': 6, 'col': 0, 'size': 2, 'orientation': 'horizontal'}];
ab42c433;raphael;hugo;19;4;5;hit;[{'row': 1, 'col': 4, 'size': 5, 'orientation': 'horizontal'}, {'row': 3, 'col': 5, 'size': 4, 'orientation': 'horizontal'}, {'row': 4, 'col': 3, 'size': 3, 'orientation': 'horizontal'}, {'row': 5, 'col': 7, 'size': 3, 'orientation': 'horizontal'}, {'row': 9, 'col': 2, 'size': 2, 'orientation': 'horizontal'}];
ab42c433;hugo;raphael;20;8;3;miss;[{'row': 1, 'col': 2, 'size': 5, 'orientation': 'horizontal'}, {'row': 3, 'col': 4, 'size': 4, 'orientation': 'horizontal'}, {'row': 5, 'col': 4, 'size': 3, 'orientation': 'horizontal'}, {'row': 7, 'col': 4, 'size': 3, 'orientation': 'horizontal'}, {'row': 6, 'col': 0, 'size': 2, 'orientation': 'horizontal'}];
ab42c433;raphael;hugo;21;4;4;hit;[{'row': 1, 'col': 4, 'size': 5, 'orientation': 'horizontal'}, {'row': 3, 'col': 5, 'size': 4, 'orientation': 'horizontal'}, {'row': 4, 'col': 3, 'size': 3, 'orientation': 'horizontal'}, {'row': 5, 'col': 7, 'size': 3, 'orientation': 'horizontal'}, {'row': 9, 'col': 2, 'size': 2, 'orientation': 'horizontal'}];
ab42c433;hugo;raphael;22;6;5;miss;[{'row': 1, 'col': 2, 'size': 5, 'orientation': 'horizontal'}, {'row': 3, 'col': 4, 'size': 4, 'orientation': 'horizontal'}, {'row': 5, 'col': 4, 'size': 3, 'orientation': 'horizontal'}, {'row': 7, 'col': 4, 'size': 3, 'orientation': 'horizontal'}, {'row': 6, 'col': 0, 'size': 2, 'orientation': 'horizontal'}];
ab42c433;raphael;hugo;23;4;3;hit;[{'row': 1, 'col': 4, 'size': 5, 'orientation': 'horizontal'}, {'row': 3, 'col': 5, 'size': 4, 'orientation': 'horizontal'}, {'row': 4, 'col': 3, 'size': 3, 'orientation': 'horizontal'}, {'row': 5, 'col': 7, 'size': 3, 'orientation': 'horizontal'}, {'row': 9, 'col': 2, 'size': 2, 'orientation': 'horizontal'}];
ab42c433;hugo;raphael;24;7;8;miss;[{'row': 1, 'col': 2, 'size': 5, 'orientation': 'horizontal'}, {'row': 3, 'col': 4, 'size': 4, 'orientation': 'horizontal'}, {'row': 5, 'col': 4, 'size': 3, 'orientation': 'horizontal'}, {'row': 7, 'col': 4, 'size': 3, 'orientation': 'horizontal'}, {'row': 6, 'col': 0, 'size': 2, 'orientation': 'horizontal'}];
ab42c433;raphael;hugo;25;5;9;hit;[{'row': 1, 'col': 4, 'size': 5, 'orientation': 'horizontal'}, {'row': 3, 'col': 5, 'size': 4, 'orientation': 'horizontal'}, {'row': 4, 'col': 3, 'size': 3, 'orientation': 'horizontal'}, {'row': 5, 'col': 7, 'size': 3, 'orientation': 'horizontal'}, {'row': 9, 'col': 2, 'size': 2, 'orientation': 'horizontal'}];
ab42c433;hugo;raphael;26;7;6;hit;[{'row': 1, 'col': 2, 'size': 5, 'orientation': 'horizontal'}, {'row': 3, 'col': 4, 'size': 4, 'orientation': 'horizontal'}, {'row': 5, 'col': 4, 'size': 3, 'orientation': 'horizontal'}, {'row': 7, 'col': 4, 'size': 3, 'orientation': 'horizontal'}, {'row': 6, 'col': 0, 'size': 2, 'orientation': 'horizontal'}];
ab42c433;raphael;hugo;27;5;7;hit;[{'row': 1, 'col': 4, 'size': 5, 'orientation': 'horizontal'}, {'row': 3, 'col': 5, 'size': 4, 'orientation': 'horizontal'}, {'row': 4, 'col': 3, 'size': 3, 'orientation': 'horizontal'}, {'row': 5, 'col': 7, 'size': 3, 'orientation': 'horizontal'}, {'row': 9, 'col': 2, 'size': 2, 'orientation': 'horizontal'}];
ab42c433;hugo;raphael;28;5;4;hit;[{'row': 1, 'col': 2, 'size': 5, 'orientation': 'horizontal'}, {'row': 3, 'col': 4, 'size': 4, 'orientation': 'horizontal'}, {'row': 5, 'col': 4, 'size': 3, 'orientation': 'horizontal'}, {'row': 7, 'col': 4, 'size': 3, 'orientation': 'horizontal'}, {'row': 6, 'col': 0, 'size': 2, 'orientation': 'horizontal'}];
ab42c433;raphael;hugo;29;5;8;hit;[{'row': 1, 'col': 4, 'size': 5, 'orientation': 'horizontal'}, {'row': 3, 'col': 5, 'size': 4, 'orientation': 'horizontal'}, {'row': 4, 'col': 3, 'size': 3, 'orientation': 'horizontal'}, {'row': 5, 'col': 7, 'size': 3, 'orientation': 'horizontal'}, {'row': 9, 'col': 2, 'size': 2, 'orientation': 'horizontal'}];
ab42c433;hugo;raphael;30;9;1;miss;[{'row': 1, 'col': 2, 'size': 5, 'orientation': 'horizontal'}, {'row': 3, 'col': 4, 'size': 4, 'orientation': 'horizontal'}, {'row': 5, 'col': 4, 'size': 3, 'orientation': 'horizontal'}, {'row': 7, 'col': 4, 'size': 3, 'orientation': 'horizontal'}, {'row': 6, 'col': 0, 'size': 2, 'orientation': 'horizontal'}];
ab42c433;raphael;hugo;31;9;2;hit;[{'row': 1, 'col': 4, 'size': 5, 'orientation': 'horizontal'}, {'row': 3, 'col': 5, 'size': 4, 'orientation': 'horizontal'}, {'row': 4, 'col': 3, 'size': 3, 'orientation': 'horizontal'}, {'row': 5, 'col': 7, 'size': 3, 'orientation': 'horizontal'}, {'row': 9, 'col': 2, 'size': 2, 'orientation': 'horizontal'}];
